,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
330,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454130000,,,,,,
331,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1454043600,,,,,,
332,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453957200,,,,,,
333,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453870800,,,,,,
334,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453784400,,,,,,
335,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453698000,,,,,,
336,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453611600,,,,,,
337,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453525200,,,,,,
338,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453438800,,,,,,
339,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453352400,,,,,,
340,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453266000,,,,,,
341,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453179600,,,,,,
342,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453093200,,,,,,
343,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1453006800,,,,,,
344,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452920400,,,,,,
345,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452834000,,,,,,
346,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452747600,,,,,,
347,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452661200,,,,,,
348,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452574800,,,,,,
349,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452488400,,,,,,
350,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452402000,,,,,,
351,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452315600,,,,,,
352,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452229200,,,,,,
353,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452142800,,,,,,
354,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1452056400,,,,,,
355,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451970000,,,,,,
356,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451883600,,,,,,
357,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451797200,,,,,,
358,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451710800,,,,,,
359,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451624400,,,,,,
360,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451538000,,,,,,
361,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451451600,,,,,,
362,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451365200,,,,,,
363,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451278800,,,,,,
364,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451192400,,,,,,
365,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451106000,,,,,,
366,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1451019600,,,,,,
367,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450933200,,,,,,
368,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450846800,,,,,,
369,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450760400,,,,,,
370,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450674000,,,,,,
371,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450587600,,,,,,
372,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450501200,,,,,,
373,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450414800,,,,,,
374,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450328400,,,,,,
375,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450242000,,,,,,
376,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450155600,,,,,,
377,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1450069200,,,,,,
378,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449982800,,,,,,
379,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449896400,,,,,,
380,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449810000,,,,,,
381,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449723600,,,,,,
382,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449637200,,,,,,
383,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449550800,,,,,,
384,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449464400,,,,,,
385,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449378000,,,,,,
386,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449291600,,,,,,
387,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449205200,,,,,,
388,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449118800,,,,,,
389,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1449032400,,,,,,
390,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448946000,,,,,,
391,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448859600,,,,,,
392,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448773200,,,,,,
393,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448686800,,,,,,
394,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448600400,,,,,,
395,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448514000,,,,,,
396,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448427600,,,,,,
397,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448341200,,,,,,
398,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448254800,,,,,,
399,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448168400,,,,,,
400,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1448082000,,,,,,
401,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447995600,,,,,,
402,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447909200,,,,,,
403,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447822800,,,,,,
404,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447736400,,,,,,
405,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447650000,,,,,,
406,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447563600,,,,,,
